ID,Data,Sexo,Idade,Horário,CAUSA DA MORTE,Local,Latitude,Longitude,Município,Classificação
1,01/01/2017,masculino,22,03:01:00,ARMA BRANCA,Coroadinho,"-2,563829","-44,265997",São Luís,HOMICÍDIO DOLOSO
2,01/01/2017,masculino,30,00:21:00,ARMA DE FOGO,Liberdade,"-2,527837","-44,285545",São Luís,HOMICÍDIO DOLOSO
3,01/01/2017,masculino,23,18:30:00,ARMA DE FOGO,São Raimundo,"-2,596433","-44,231129",São Luís,HOMICÍDIO DOLOSO
4,01/01/2017,masculino,38,20:21:00,ARMA DE FOGO,Vila Conceição – Coroadinho,"-2,568449","-44,261609",São Luís,HOMICÍDIO DOLOSO
5,01/01/2017,feminino,49,23:22:00,ARMA DE FOGO,Vila Vitória,"-2,608866","-44,203942",São Luís,HOMICÍDIO DOLOSO
6,02/01/2017,masculino,19,21:30:00,ARMA BRANCA,Itapeua,"-2,451113","-44,117682",Raposa,HOMICÍDIO DOLOSO
7,02/01/2017,masculino,26,06:00:00,ARMA BRANCA,Trizidela da Maioba,"-2,538813","-44,193256",Paço do Lumiar,HOMICÍDIO DOLOSO
8,03/01/2017,masculino,36,16:40:00,ARMA DE FOGO,Quinta,"-2,557248","-44,136286",São José de Ribamar,LESÃO CORPORAL SEGUIDA DE MORTE
9,04/01/2017,masculino,33,19:25:00,ARMA DE FOGO,Pindaí,"-2,552211","-44,122188",São José de Ribamar,HOMICÍDIO DOLOSO
10,04/01/2017,masculino,18,21:41:00,ARMA DE FOGO,Rio Grande,"-2,662003","-44,291596",São Luís,HOMICÍDIO DOLOSO
11,04/01/2017,masculino,17,20:35:00,ARMA DE FOGO,Rio Grande,"-2,662003","-44,291596",São Luís,LESÃO CORPORAL SEGUIDA DE MORTE
12,05/01/2017,masculino,17,19:25:00,ARMA DE FOGO,Pindaí,"-2,552211","-44,122188",São José de Ribamar,HOMICÍDIO DOLOSO
13,06/01/2017,masculino,49,02:45:00,ESPANCAMENTO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
14,06/01/2017,masculino,35,20:32:00,ARMA DE FOGO,Divinéia,"-2,493967","-44,220185",São Luís,HOMICÍDIO DOLOSO
15,06/01/2017,masculino,25,21:46:00,ARMA DE FOGO,Itapeua,"-2,451113","-44,117682",Raposa,HOMICÍDIO DOLOSO
16,06/01/2017,masculino,18,18:45:00,ESPANCAMENTO,Residencial José Reinaldo Tavares,"-2,588824","-44,175317",São Luís,HOMICÍDIO DOLOSO
17,06/01/2017,masculino,16,22:00:00,ARMA DE FOGO,Vila Luizão,"-2,489208","-44,211817",São Luís,MORTE A ESCLARECER
18,07/01/2017,masculino,51,20:17:00,ARMA DE FOGO,Barreto,"-2,547431","-44,259281",São Luís,HOMICÍDIO DOLOSO
19,07/01/2017,masculino,40,20:50:00,ARMA DE FOGO,Jardim Tropical,"-2,57504","-44,177828",São José de Ribamar,HOMICÍDIO DOLOSO
20,07/01/2017,masculino,17,20:44:00,ARMA DE FOGO,Liberdade,"-2,527837","-44,285545",São Luís,HOMICÍDIO DOLOSO
21,07/01/2017,masculino,31,16:29:00,ARMA DE FOGO,Santa Bárbara,"-2,60265","-44,210186",São Luís,HOMICÍDIO DOLOSO
22,07/01/2017,masculino,24,16:29:00,ARMA DE FOGO,Santa Bárbara,"-2,60265","-44,210186",São Luís,HOMICÍDIO DOLOSO
23,08/01/2017,masculino,22,02:30:00,ARMA BRANCA,Residencial Nova Vida,"-2,623956","-44,194758",Paço do Lumiar,HOMICÍDIO DOLOSO
24,08/01/2017,masculino,21,16:55:00,ARMA DE FOGO,Vila Funil,"-2,607644","-44,245893",São Luís,HOMICÍDIO DOLOSO
25,09/01/2017,masculino,27,08:25:00,ARMA DE FOGO,Vila São Luís – Bacanga,"-2,547884","-44,332948",São Luís,HOMICÍDIO DOLOSO
26,10/01/2017,masculino,29,20:44:00,ARMA DE FOGO,Liberdade,"-2,527837","-44,285545",São Luís,HOMICÍDIO DOLOSO
27,11/01/2017,masculino,17,11:04:00,ARMA DE FOGO,Residencial Tiradentes,"-2,606165","-44,191132",São Luís,HOMICÍDIO DOLOSO
28,12/01/2017,masculino,26,03:00:00,ARMA DE FOGO,Monte Castelo,"-2,534483","-44,280224",São Luís,HOMICÍDIO DOLOSO
29,12/01/2017,masculino,25,01:41:00,ARMA DE FOGO,Monte Castelo,"-2,534483","-44,280224",São Luís,HOMICÍDIO DOLOSO
30,12/01/2017,masculino,44,14:18:00,ARMA DE FOGO,Residencial Ribeira,"-2,637268","-44,253809",São Luís,HOMICÍDIO DOLOSO
31,13/01/2017,masculino,19,18:00:00,ARMA DE FOGO,Batatan,"-2,545373","-44,297519",São Luís,HOMICÍDIO DOLOSO
32,14/01/2017,masculino,20,11:12:00,ARMA DE FOGO,Fátima,"-2,545758","-44,282992",São Luís,HOMICÍDIO DOLOSO
33,14/01/2017,masculino,36,23:00:00,ARMA DE FOGO,Fátima,"-2,545758","-44,282992",São Luís,HOMICÍDIO DOLOSO
34,14/01/2017,masculino,20,18:40:00,ARMA DE FOGO,Monte Castelo,"-2,534483","-44,280224",São Luís,HOMICÍDIO DOLOSO
35,14/01/2017,masculino,23,-,ARMA DE FOGO,-,"-2,647449","-44,074745",-,MORTE A ESCLARECER
36,15/01/2017,masculino,16,21:35:00,ARMA BRANCA,Cajazeiras,"-2,53787","-44,30124",São Luís,HOMICÍDIO DOLOSO
37,15/01/2017,masculino,35,08:59:00,ARMA DE FOGO,Fátima,"-2,545758","-44,282992",São Luís,HOMICÍDIO DOLOSO
38,15/01/2017,masculino,18,13:48:00,ARMA DE FOGO,Vila Samara,"-2,742188","-44,347044",São Luís,HOMICÍDIO DOLOSO
39,17/01/2017,masculino,22,20:00:00,ARMA DE FOGO,Maracanã,"-2,637332","-44,285717",São Luís,HOMICÍDIO DOLOSO
40,17/01/2017,masculino,30,03:00:00,ARMA BRANCA,Residencial Novo Horizonte,"-2,525437","-44,147015",São Luís,HOMICÍDIO DOLOSO
41,19/01/2017,masculino,32,12:16:00,ARMA DE FOGO,Andiroba,"-2,629915","-44,188449",São Luís,HOMICÍDIO DOLOSO
42,19/01/2017,masculino,38,18:48:00,ARMA DE FOGO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
43,19/01/2017,masculino,31,17:49:00,ARMA DE FOGO,Vila Operária,"-2,560421","-44,184115",São José de Ribamar,HOMICÍDIO DOLOSO
